name,year,vote_average,page_url,image_url,genres,director,actors,description
Love Next Door,2024.0,8.047,https://www.themoviedb.org/tv/241454,https://image.tmdb.org/t/p/w500/hikbLeofw2epfaEJptSkQ6b22IV.jpg,"Drama, Comedy",Yu Je-won,"Jung Hae-in, Jung So-min, Kim Ji-eun, Yun Ji-on, Park Ji-young",A woman attempting to reboot her life returns to Korea and becomes entangled with her childhood friend — with whom she shares a complicated history.
Ginny & Georgia,2021.0,8.047,https://www.themoviedb.org/tv/117581,https://image.tmdb.org/t/p/w500/vOwunzW4dx3n0J5mH40n9jTRSwY.jpg,"Comedy, Drama",Sarah Lampert,"Antonia Gentry, Brianne Howey, Diesel La Torraca, Jennifer Robertson, Felix Mallard","Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy."
Babylon 5,1994.0,8.046,https://www.themoviedb.org/tv/3137,https://image.tmdb.org/t/p/w500/td8O6KJQpN9ZRiuyFUILziXFMrk.jpg,"Drama, Sci-Fi & Fantasy, Action & Adventure",J. Michael Straczynski,"Bruce Boxleitner, Jerry Doyle, Mira Furlan, Richard Biggs, Andreas Katsulas","Babylon 5 is a five-mile long space station located in neutral space. Built by the Earth Alliance in the 2250s, its goal is to maintain peace among the various alien races by providing a sanctuary where grievances and negotiations can be worked out among duly appointed ambassadors. A council made up of representatives from the five major space-faring civilizations - the Earth Alliance, Minbari Federation, Centauri Republic, Narn Regime, and Vorlon Empire - work with the League of Non-Aligned Worlds to keep interstellar relations under control. Aside from its diplomatic function, Babylon 5 also serves as a military post for Earth and a port of call for travelers, traders, businessmen, criminals, and Rangers."
High Potential,2024.0,8.046,https://www.themoviedb.org/tv/226637,https://image.tmdb.org/t/p/w500/xCtaUDBUP1iKqtoqpHfeH1T2pWF.jpg,"Drama, Crime, Mystery",Drew Goddard,"Kaitlin Olson, Daniel Sunjata, Judy Reyes, Javicia Leslie, Deniz Akdeniz","Morgan is a single mom with an exceptional mind, whose unconventional knack for solving crimes leads to an unusual and unstoppable partnership with a by-the-book seasoned detective."
Gomorrah,2014.0,8.045,https://www.themoviedb.org/tv/61068,https://image.tmdb.org/t/p/w500/cXsagSyQQki9vTbV3TTxRCGIIlQ.jpg,"Crime, Drama",Roberto Saviano,"Salvatore Esposito, Marco D'Amore, Ivana Lotito, Arturo Muselli, Mimmo Borrelli","Based on Robert Saviano's bestselling book, this gritty Italian crime drama paints a portrait of the brutal Neapolitan crime organisation the Camorra, as seen through the eyes of Ciro Di Marzo, the obedient and self- confident right-hand man of the clan's godfather, Pietro Savastano."
86 EIGHTY-SIX,2021.0,8.043,https://www.themoviedb.org/tv/100565,https://image.tmdb.org/t/p/w500/pp2gzafNPiug63UskS2niHK9Y04.jpg,"Animation, Action & Adventure, War & Politics, Sci-Fi & Fantasy",Not specified,"Ikumi Hasegawa, Shoya Chiba, Natsumi Fujiwara, Seiichiro Yamashita, Saori Hayami","Called “Juggernaut,” these are the unmanned combat drones developed by the Republic of San Magnolia in answer to the attacks by the autonomous unmanned drones of the neighboring Empire of Giad, the “Legion”. But they’re only unmanned in name. In reality, they are piloted by the Eighty-sixers—those considered to be less than human and treated as mere tools. Determined to achieve his own mysterious ends, Shin, the captain of Spearhead Squadron, which is comprised of Eighty-sixers, continues to fight a hopeless war on a battlefield where only death awaits him."
Reign,2013.0,8.042,https://www.themoviedb.org/tv/48865,https://image.tmdb.org/t/p/w500/epNfFs0gPyrpekecpzyX0XTkZgI.jpg,Drama,"Laurie McCarthy, Stephanie Sengupta","Adelaide Kane, Megan Follows, Celina Sinden, Craig Parker, Jonathan Goad","Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court."
Goblin Slayer,2018.0,8.042,https://www.themoviedb.org/tv/82591,https://image.tmdb.org/t/p/w500/x8ZQyxAFjz9jtCGivbOMYUC4Tp3.jpg,"Animation, Action & Adventure, Sci-Fi & Fantasy",Not specified,"Yuuichirou Umehara, Yui Ogura, Nao Toyama, Yuka Iguchi, Maaya Uchida","""I'm not saving the world. I just kill goblins.""

Rumor has it that, in a certain guild in the middle of nowhere, there is an extraordinary man who has climbed all the way to the Silver rank just by killing goblins. At the same guild, a priestess who's just become a new adventurer has formed her first party... and the man who ends up rescuing that party when they get into trouble is none other than the Goblin Slayer."
Winx Club,2004.0,8.04,https://www.themoviedb.org/tv/1848,https://image.tmdb.org/t/p/w500/iAEh0rhHfq0oPdsZbsCSNPRBHXW.jpg,"Kids, Animation, Sci-Fi & Fantasy, Action & Adventure, Mystery",Iginio Straffi,"Letizia Ciampa, Perla Liberatori, Ilaria Latini, Gemma Donati, Domitilla D'Amico","In a magical universe, witches, warriors begin fighting in the name of good .vs. evil! At a magic school, five teenage girls are selected to defend the universe with their magic."
"XO, Kitty",2023.0,8.039,https://www.themoviedb.org/tv/195670,https://image.tmdb.org/t/p/w500/hxvTdKAwv27PUfpXOQp6AwWr6V.jpg,"Comedy, Drama",Jenny Han,"Anna Cathcart, Choi Min-yeong, Gia Kim, Sang Heon Lee, Anthony Keyvan","Teen matchmaker Kitty Song Covey thinks she knows everything there is to know about love. But when she moves halfway across the world to reunite with her long-distance boyfriend, she'll soon realize that relationships are a lot more complicated when it's your own heart on the line."
Penguindrum,2011.0,8.035,https://www.themoviedb.org/tv/39657,https://image.tmdb.org/t/p/w500/xXbteCvDq4DaRoNasfvBPxKVvhr.jpg,"Mystery, Animation, Drama, Comedy, Crime, Sci-Fi & Fantasy",Not specified,"Subaru Kimura, Ryohei Kimura, Miho Arakawa, Marie Miyake, Akira Ishida","A terminally ill girl named Himari Takakura is miraculously saved from death by a strange spirit who resides in a penguin-shaped hat. However, in exchange for extending her life, the spirit tasks Himari's brothers, Kanba and Shōma, to seek out an elusive item known as the Penguin Drum with assistance from a trio of strange penguins."
Parks and Recreation,2009.0,8.035,https://www.themoviedb.org/tv/8592,https://image.tmdb.org/t/p/w500/dDuzrl9rUIBYieZjqmtNCdncrmZ.jpg,Comedy,"Michael Schur, Greg Daniels","Amy Poehler, Aziz Ansari, Nick Offerman, Aubrey Plaza, Chris Pratt","In an attempt to beautify her town — and advance her career — Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana, takes on bureaucrats, cranky neighbors, and single-issue fanatics whose weapons are lawsuits, the jumble of city codes, and the democratic process she loves so much."
SEAL Team,2017.0,8.033,https://www.themoviedb.org/tv/71789,https://image.tmdb.org/t/p/w500/6iSnec83UEMgLOXAtGYwaVNHLjR.jpg,"Action & Adventure, Drama, War & Politics",Benjamin Cavell,"David Boreanaz, Neil Brown Jr., A.J. Buckley, Toni Trucks, Beau Knapp","Military drama following the professional and personal lives of the most elite unit of Navy SEALs as they train, plan and execute the most dangerous, high stakes missions our country can ask of them."
Black Lagoon,2006.0,8.031,https://www.themoviedb.org/tv/12598,https://image.tmdb.org/t/p/w500/sQlHhWScg6qmakL1ywtcjjVKKqV.jpg,"Action & Adventure, Animation, Drama, Crime",Not specified,"Megumi Toyoguchi, Daisuke Namikawa, Tsutomu Isobe, Hiroaki Hirata","The story follows a team of pirate mercenaries known as the Lagoon Company, that smuggles goods in and around the seas of Southeast Asia in the early to mid 1990s. Their base of operations is located in the fictional harbor city of Roanapur in southeast Thailand near the border of Cambodia."
Stargate Atlantis,2004.0,8.028,https://www.themoviedb.org/tv/2290,https://image.tmdb.org/t/p/w500/l0JYr2iqwId6VOmCV8dHzlIM6Wd.jpg,"Sci-Fi & Fantasy, Action & Adventure, Drama","Brad Wright, Robert C. Cooper","Joe Flanigan, David Hewlett, Rachel Luttrell, Jewel Staite, Robert Picardo","With the Ancients' city of Atlantis discovered in the Pegasus Galaxy by Stargate Command, Dr. Elizabeth Weir and Major Sheppard lead a scientific expedition to the ancient abandoned city. Once there, the team not only find themselves unable to contact Earth, but their explorations unexpectedly reawaken the Ancients' deadly enemies, The Wraith, who hunger for this new prey. Now with the help of newfound local allies like Teyla Emmagan, the Atlantis Team sets about to uncover their new home's secrets even as their war of survival against the Wraith begins."
Spartacus,2010.0,8.028,https://www.themoviedb.org/tv/46296,https://image.tmdb.org/t/p/w500/c2GKN4VHCj1dnjFMANRpGkCVBae.jpg,Drama,Steven S. DeKnight,"Liam McIntyre, Manu Bennett, Dustin Clare, Cynthia Addai-Robinson, Jaime Murray","Torn from his homeland and the woman he loves, Spartacus is condemned to the brutal world of the arena where blood and death are primetime entertainment."
Westworld,2016.0,8.028,https://www.themoviedb.org/tv/63247,https://image.tmdb.org/t/p/w500/8MfgyFHf7XEboZJPZXCIDqqiz6e.jpg,"Sci-Fi & Fantasy, Western","Jonathan Nolan, Lisa Joy","Evan Rachel Wood, Thandiwe Newton, Jeffrey Wright, Tessa Thompson, Aaron Paul","A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged."
Shadows House,2021.0,8.027,https://www.themoviedb.org/tv/111576,https://image.tmdb.org/t/p/w500/lyB5T6lWA4yCPZxolZ2KuVm8YV3.jpg,"Animation, Mystery",Not specified,"Akari Kito, Yu Sasahara, Koudai Sakai, Ayane Sakura, Reiji Kawashima","A faceless clan lives in a large mansion, masquerading as nobles. Their caretakers are living dolls who spend their days cleaning up the dirt the tenants leave behind. But there’s a deeper mystery at play… and the secret of the house will be unveiled."
