,name,year,vote_average,page_url,image_url,genres,director,actors,description
44,'Allo 'Allo!,1984,7.778,https://www.themoviedb.org/tv/2211,https://image.tmdb.org/t/p/original/m42lb4UxkpaFil4bw0bqqjlWCY4.jpg,"Comedy,War&Politics","David Croft, Jeremy Lloyd","Gorden Kaye, Carmen Silvera, Vicki Michelle, Richard Marner, Kim Hartman",The misadventures of hapless cafe owner René Artois and his escapades with the Resistance in occupied France.
45,Jumong,2006,7.6,https://www.themoviedb.org/tv/4734,https://image.tmdb.org/t/p/original/oJj4tsSLu65tjcCx5yqHECfehD5.jpg,"Drama,War&Politics",Unknown,"Song Il-gook, Jin Hee-kyung, Song Ji-hyo, Han Hye-jin, Bae Soo-bin","Jumong  examines the life of Jumong Taewang, founder of the kingdom of Goguryeo. Few details have been found in the historical record about Jumong, so much of the series is fictionalized."
46,Pacific Blue,1996,5.3,https://www.themoviedb.org/tv/50,https://image.tmdb.org/t/p/original/lVyEixUIkSWSuUQ1RO4fQMXcXgB.jpg,"Crime,Drama,Action&Adventure,War&Politics",Bill Nuss,"Jim Davidson, Shanna Moakler, Paula Trickey, Jeff Stearns, Amy Hunter","Pacific Blue is an American crime drama series about a team of police officers with the Santa Monica Police Department who patrolled its beaches on bicycles. The show ran for five seasons on the USA Network, from March 2, 1996 to April 9, 2000, with a total of one hundred and one episodes. Often compared as ""Baywatch on bikes,"" the series enjoyed a popular run among the Network's viewers, and was popular in France, Israel, Sweden, Bulgaria, Norway, Spain, Russia, Austria, Germany, Italy, South America, Canada, Denmark, Poland, and other foreign markets."
47,The Valley of The Wolves,2003,7.3,https://www.themoviedb.org/tv/34587,https://image.tmdb.org/t/p/original/aGi8EuXsf5bbM4O59Uu0pucLcT.jpg,"Crime,Drama,Action&Adventure,War&Politics","Osman Sınav, Raci Şaşmaz","Necati Şaşmaz, Özgü Namal, Kenan Çoban, Gürkan Uygun, İpek Tenolcay","Valley of the Wolves was a Turkish television drama which broadcast mainly on Show TV and then transferred to Kanal D, then atv for its last season. It was mostly about an agent named Polat Alemdar who leaked into the mafia after his plastic surgery. The scenario has direct and indirect references to the Turkish politics and political history from a viewpoint of an undercover agent. Valley of the Wolves became one of the most successful TV shows in Turkey and produced a successful feature film named Valley of the Wolves: Iraq."
48,The Legend of Qin,2007,8.7,https://www.themoviedb.org/tv/45279,https://image.tmdb.org/t/p/original/x48e2npV0eFTwDQhpt8qF7HUsLI.jpg,"Drama,Action&Adventure,Sci-Fi&Fantasy,Animation,War&Politics",Unknown,"Lei Wu, Liu Yijia","The Legend of Qin follows the Qin dynasty from when the Emperor of the Qin, King Zheng conquered the other 6 nations and unified China, to the rise of the king of Western Chu, Xiang Yu, who capture the capital city, Xianyang."
49,Passato e Presente,2017,9.5,https://www.themoviedb.org/tv/95113,https://image.tmdb.org/t/p/original/9hgwOE4Gj2oZIZOl3e4T1nazWmW.jpg,"Documentary,War&Politics",Unknown,Paolo Mieli,"Program about historical dissemination, presented by Paolo Mieli. Each episode sees a historian interacting with the presenter and three young university students."
50,The Qin Empire,2009,8.3,https://www.themoviedb.org/tv/32231,https://image.tmdb.org/t/p/original/zfuObpAXqGEI3FCSTsBw3GKRyOE.jpg,"Drama,War&Politics",Sun Haohui,"Liu Naiyi, Zhang Luyi, Duan Yihong, Li Naiwen, Zhu Zhu",The rise of the Qin state in the Warring States period during the reign of Duke Xiao of Qin.
51,Shooter,2016,7.194,https://www.themoviedb.org/tv/66857,https://image.tmdb.org/t/p/original/oMmqtafm6Rdlka1ejJeC9BDWzyO.jpg,"Drama,Action&Adventure,War&Politics",John Hlavin,"Ryan Phillippe, Shantel VanSanten, Cynthia Addai-Robinson, Omar Epps, Jesse Bradford",Bob Lee Swagger is an expert marksman living in exile who is coaxed back into action after learning of a plot to kill the president.
52,The Advisors Alliance,2017,8.3,https://www.themoviedb.org/tv/72311,https://image.tmdb.org/t/p/original/xdlltLF34oFEJ0yIQ64JROFR2VN.jpg,"Drama,War&Politics",Unknown,"Wu Xiubo, Liu Tao, Ning Chang, Jerry Lee, Tang Yixin","The story of Sima Yi, a great politician and strategist who lived during the Three Kingdoms era. By his side, Sima Yi has his politically-astute distaff members of his household, and pitted against them are the formidable Cao Cao and his heirs. After defending the Kingdom of Wei from Kongming formidable talents, who will end up with the ultimate power?"
53,Kings,2022,8.6,https://www.themoviedb.org/tv/51018,https://image.tmdb.org/t/p/original/1K8FiVBk9nDAH0TZmkeMVZ5mR5i.jpg,"Drama,Action&Adventure,War&Politics,Mystery",Raphaela Castro,Vittoria Seixas,"Kings will tell the story of the nation of Israel, from the moment when the last judge, the prophet Samuel, is used by God to guide His people, to the sad fall of Jerusalem, caused by the armies of Babylon."
54,Oshin,1983,6.7,https://www.themoviedb.org/tv/6231,https://image.tmdb.org/t/p/original/hut6ivvxG1da3ZC6tyJHlh9C7kw.jpg,"Drama,Family,War&Politics",Unknown,"Ayako Kobayashi, Yuko Tanaka, Nobuko Otowa, Shirô Namiki, Oji Michio","Oshin is a Japanese serialized morning television drama, which aired on broadcaster NHK from April 4, 1983 to March 31, 1984. The series follows the life of Shin Tanokura during the Meiji period up to the early 1980s. Shin was called ""Oshin"", which is an archaic Japanese cognomen."
