name,year,vote_average,page_url,image_url,genres,director,actors,description
My Hero Academia,2016,8.622,https://www.themoviedb.org/tv/65930,https://image.tmdb.org/t/p/original/phuYuzqWW9ru8EA3HVjE9W2Rr3M.jpg,"Action & Adventure, Animation, Sci-Fi & Fantasy",,Daiki Yamashita,"After he saves a bully from a Villain, a normal student is granted a superpower that allows him to attend a high school training academy for Heroes."
Stargate Atlantis,2004,8.028,https://www.themoviedb.org/tv/2290,https://image.tmdb.org/t/p/original/l0JYr2iqwId6VOmCV8dHzlIM6Wd.jpg,"Sci-Fi & Fantasy, Action & Adventure, Drama","Brad Wright, Robert C. Cooper","Joe Flanigan, David Hewlett, Rachel Luttrell, Jewel Staite, Robert Picardo","With the Ancients' city of Atlantis discovered in the Pegasus Galaxy by Stargate Command, Dr. Elizabeth Weir and Major Sheppard lead a scientific expedition to the ancient abandoned city. Once there, the team not only find themselves unable to contact Earth, but their explorations unexpectedly reawaken the Ancients' deadly enemies, The Wraith, who hunger for this new prey. Now with the help of newfound local allies like Teyla Emmagan, the Atlantis Team sets about to uncover their new home's secrets even as their war of survival against the Wraith begins."
The Daily Life of the Immortal King,2020,8.353,https://www.themoviedb.org/tv/98123,https://image.tmdb.org/t/p/original/7By0jV3kf9MVvv3X3K8u4mhRUwp.jpg,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Xuan Ku,"Sun Lulu, Qian Chen, Yin Long, Gu Jiangshan, Titus Jin","As a cultivation genius who has achieved a new realm every two years since he was a year old, Wang Ling is a near-invincible existence with prowess far beyond his control. But now that he’s sixteen, he faces his greatest battle yet – Senior High School. With one challenge after another popping up, his plans for a low-key high school life seem further and further away…"
Westworld,2016,8.028,https://www.themoviedb.org/tv/63247,https://image.tmdb.org/t/p/original/8MfgyFHf7XEboZJPZXCIDqqiz6e.jpg,"Sci-Fi & Fantasy, Western","Jonathan Nolan, Lisa Joy","Evan Rachel Wood, Thandiwe Newton, Jeffrey Wright, Tessa Thompson, Aaron Paul","A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged."
Foundation,2021,7.7,https://www.themoviedb.org/tv/93740,https://image.tmdb.org/t/p/original/tg9I5pOY4M9CKj8U0cxVBTsm5eh.jpg,"Sci-Fi & Fantasy, Drama","David S. Goyer, Josh Friedman","Jared Harris, Lee Pace, Lou Llobell, Leah Harvey, Laura Birn",Follow a band of exiles on their monumental journey to save humanity and rebuild civilization amid the fall of the Galactic Empire.
Babylon 5,1994,8.046,https://www.themoviedb.org/tv/3137,https://image.tmdb.org/t/p/original/td8O6KJQpN9ZRiuyFUILziXFMrk.jpg,"Drama, Sci-Fi & Fantasy, Action & Adventure",J. Michael Straczynski,"Bruce Boxleitner, Jerry Doyle, Mira Furlan, Richard Biggs, Andreas Katsulas","Babylon 5 is a five-mile long space station located in neutral space. Built by the Earth Alliance in the 2250s, its goal is to maintain peace among the various alien races by providing a sanctuary where grievances and negotiations can be worked out among duly appointed ambassadors. A council made up of representatives from the five major space-faring civilizations - the Earth Alliance, Minbari Federation, Centauri Republic, Narn Regime, and Vorlon Empire - work with the League of Non-Aligned Worlds to keep interstellar relations under control. Aside from its diplomatic function, Babylon 5 also serves as a military post for Earth and a port of call for travelers, traders, businessmen, criminals, and Rangers."
Attack on Titan,2013,8.7,https://www.themoviedb.org/tv/1429,https://image.tmdb.org/t/p/original/hTP1DtLGFamjfu8WqjnuQdP1n4i.jpg,"Animation, Sci-Fi & Fantasy, Action & Adventure",,"Yuki Kaji, Yui Ishikawa, Marina Inoue, Kisho Taniyama, Hiro Shimono","100 years ago, the last remnants of humanity were forced to retreat behind the towering walls of a fortified city to escape the massive, man-eating Titans that roamed the land outside their fortress. Only the members of the Scouting Legion dared to stray beyond the safety of the walls – but even those brave warriors seldom returned alive. Those within the city clung to the illusion of a peaceful existence until the day that dream was shattered, and their slim chance at survival was reduced to one horrifying choice: kill – or be devoured!"
Dark,2017,8.4,https://www.themoviedb.org/tv/70523,https://image.tmdb.org/t/p/original/apbrbWs8M9lyOpJYU5WXrpFbk1Z.jpg,"Crime, Drama, Sci-Fi & Fantasy, Mystery","Baran bo Odar, Jantje Friese",Louis Hofmann,A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.
Eureka,2006,7.765,https://www.themoviedb.org/tv/4620,https://image.tmdb.org/t/p/original/f2l5hUk63hPqYTucnFy2HmElFV0.jpg,"Sci-Fi & Fantasy, Comedy, Drama","Andrew Cosby, Jaime Paglia","Colin Ferguson, Salli Richardson-Whitfield, Joe Morton, Erica Cerra, Neil Grayston","The sleepy Pacific Northwest town of Eureka is hiding a mysterious secret. The government has been relocating the world's geniuses and their families to this rustic town for years where innovation and chaos have lived hand in hand. U.S. Marshal Jack Carter stumbles upon this odd town after wrecking his car and becoming stranded there. When the denizens of the town unleash an unknown scientific creation, Carter jumps in to try to restore order and consequently learns of one of the country's best kept secrets."
Invasion,2021,7.2,https://www.themoviedb.org/tv/127235,https://image.tmdb.org/t/p/original/1PdNB3rYTcf8VXc8rcmZ0SeYxSq.jpg,"Sci-Fi & Fantasy, Drama","Simon Kinberg, David Weil","Golshifteh Farahani, Shioli Kutsuna, Shamier Anderson, India Brown, Enver Gjokaj",Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.
The Strain,2014,7.476,https://www.themoviedb.org/tv/47640,https://image.tmdb.org/t/p/original/2BWErT9QcADpf2G4BZ769eSnFTP.jpg,"Sci-Fi & Fantasy, Drama, Mystery","Guillermo del Toro, Carlton Cuse","Corey Stoll, Kevin Durand, Miguel Gómez, David Bradley, Jonathan Hyde","A high concept thriller that tells the story of Dr. Ephraim Goodweather, the head of the Center for Disease Control Canary Team in New York City. He and his team are called upon to investigate a mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism. As the strain spreads, Eph, his team, and an assembly of everyday New Yorkers, wage war for the fate of humanity itself."
Dexter's Laboratory,1996,7.667,https://www.themoviedb.org/tv/4229,https://image.tmdb.org/t/p/original/inJJn8lUPWdvdy2h259UnoHWVqC.jpg,"Animation, Comedy, Sci-Fi & Fantasy",Genndy Tartakovsky,"Candi Milo, Kat Cressida, Jeff Bennett, Kath Soucie, Eddie Deezen","Dexter, a boy-genius with a secret laboratory, constantly battles his sister Dee Dee, who always gains access despite his best efforts to keep her out, as well as his arch-rival and neighbor, Mandark."
La coleccionista,2025,4.8,https://www.themoviedb.org/tv/304266,https://image.tmdb.org/t/p/original/vJeO6iTAx9GuyJ67gKqOi67cXW6.jpg,"Mystery, Sci-Fi & Fantasy","Joaquín Llamas, Manuel Sanabria","Belén López, Assumpta Serna, Guilherme Filipe, Maggie Civantos, Victoria Guerra",
Titans,2018,7.89,https://www.themoviedb.org/tv/75450,https://image.tmdb.org/t/p/original/xKnUNWFsAOaKIviIYBLei02Bauu.jpg,"Drama, Action & Adventure, Sci-Fi & Fantasy","Geoff Johns, Greg Berlanti, Akiva Goldsman","Brenton Thwaites, Anna Diop, Teagan Croft, Ryan Potter, Joshua Orpin",A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils.
ONE PIECE,2023,8.123,https://www.themoviedb.org/tv/111110,https://image.tmdb.org/t/p/original/lXl3ZbY5TksOdt6eYgdyg6vsnFW.jpg,"Action & Adventure, Sci-Fi & Fantasy","Matt Owens, Steven Maeda","Iñaki Godoy, Emily Rudd, Mackenyu, Jacob Gibson, Vincent Regan","With his straw hat and ragtag crew, young pirate Monkey D. Luffy goes on an epic voyage for treasure."
